uf,municipio,codigo_ibge,area_do_imovel,registro_car,situacao_cadastro,condicao_cadastro,area_liquida,area_remanescente_vegetacao_nativa,area_reserva_legal_proposta,area_preservacao_permanente,area_nao_classificada,solicitacao_adesao_pra,latitude,longitude,data_inscricao,data_alteracao_condicao_cadastro,area_rural_consolidada,area_servidao_administrativa,tipo_imovel_rural,modulos_fiscais,area_uso_restrito,area_reserva_legal_averbada,area_reserva_legal_aprovada_nao_averbada,area_pousio,data_ultima_retificacao
SP,ARCO-ÍRIS,3503356,7.267,SP-3503356-B7CE0E122183442FB7A4B007F43C047B,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,7.262,0.0,0.0,0.0,7.1931477,Nao,-21.72722383,-50.32611336,2015-06-21 05:55:50.054,2022-04-08 16:57:02.369,0.0,0.0,IRU,0.3633,0.0,0.0,0.0,0.0,2015-06-21 05:55:50.054
SP,LUCÉLIA,3527405,9.4159,SP-3527405-9ACCF9E514064819A8EC3780177BB69C,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,9.3246,1.5639085,0.0,0.0,7.4486423,Nao,-21.6726676,-51.0334434,2015-06-21 21:20:50.334,2022-09-11 10:43:16.767,0.3135541,0.08380972,IRU,0.4666,0.0,1.558,0.0,0.0,2015-06-21 21:20:50.334
SP,TUPÃ,3555000,45.1395,SP-3555000-1F1172A89B224A339DA4E564ED8350FC,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,45.106,3.5950015,0.0,0.0,37.566643,Nao,-21.83202483,-50.53954423,2015-12-19 07:46:30.828,2022-04-08 18:44:54.646,3.9495187,0.0,IRU,2.257,0.0,0.0,0.0,0.0,2015-12-19 07:46:30.828
SP,PARAPUÃ,3536000,30.3058,SP-3536000-953B739D4B7B4A758BFC9B4FAA8BCEE9,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,30.1393,0.0,0.0,0.0,30.136644,Nao,-21.92691752,-50.91581263,2016-08-15 17:13:09.172,2022-09-10 12:33:56.839,0.0,0.14244016,IRU,1.6757,0.0,0.0,0.0,0.0,2016-08-15 17:13:09.172
SP,TUPÃ,3555000,27.9826,SP-3555000-1EFC980D6B724F8ABEBE8782E3E32D44,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,27.9621,0.0,5.6016,0.0,27.962097,Nao,-21.95813722,-50.49582518,2017-02-21 12:05:04.891,2022-04-08 18:44:54.547,0.0,0.0,IRU,1.3991,0.0,0.0,0.0,0.0,2017-02-21 12:05:04.891
SP,OSVALDO CRUZ,3534609,30.1962,SP-3534609-C2B3038FBC1445DC86EF49A3162A84A1,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,30.1722,0.0,0.0,0.0,30.169035,Nao,-21.70412563,-50.8562801,2019-10-02 07:55:32.809,2022-04-08 18:21:48.587,0.0,0.0,IRU,1.6776,0.0,0.0,0.0,0.0,2019-10-02 07:55:32.809
SP,OSVALDO CRUZ,3534609,3.2366,SP-3534609-757668D2CBAC4CCE98DF7316631E7F2D,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,3.234,0.0,0.0,0.0,3.2339838,Nao,-21.82744695,-50.93550973,2021-02-05 12:05:07.051,2022-04-08 18:21:29.508,0.0,0.0,IRU,0.1798,0.0,0.0,0.0,0.0,2021-02-05 12:05:07.051
SP,BASTOS,3505807,4.3563,SP-3505807-447C07BE945D492EA3FCD8A92A0FDCCE,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,4.3529,0.3797706,0.0,0.0,3.9687448,Nao,-21.93942645,-50.75825951,2021-04-20 10:35:45.488,2022-04-08 17:42:27.84,0.0,0.0,IRU,0.2723,0.0,0.0,0.0,0.0,2021-04-20 10:35:45.488
SP,LUCÉLIA,3527405,168.4244,SP-3527405-70D5ADE2DA8942AB93AE9117400599E2,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,168.4244,15.876289,3.8364,10.103075,0.0,Sim,-21.73222108,-51.04468353,2022-07-22 16:50:57.059,2022-09-27 20:32:27.399,152.38882,0.0,IRU,8.4212,0.0,0.0,0.0,0.0,2022-07-22 16:50:57.059
SP,OSVALDO CRUZ,3534609,9.4334,SP-3534609-47E6374749024C4BBFCFB6B2BA46A354,AT,ANALISADO  AGUARDANDO REGULARIZAÇÃO AMBIENTAL (LEI Nº 12.651/2012),9.4259,0.0,0.2802,0.0,0.0,Nao,-21.72629622,-50.85782918,2022-10-11 13:36:10.527,2023-08-31 18:25:06.052,9.4334,0.0,IRU,0.5237,0.0,0.0,0.0,0.0,2022-10-11 13:36:10.527
