uf,municipio,codigo_ibge,area_do_imovel,registro_car,situacao_cadastro,condicao_cadastro,latitude,longitude,tipo_imovel_rural,modulos_fiscais,origem,descricao,data_processamento,area_de_conflito,percentual
SP,TUPÃ,3555000,3.6399,SP-3555000-F4599DC678164BC38E301F34F932E7DA,AT,REVISADO  AGUARDANDO ANÁLISE DA EQUIPE,-21.9052116,-50.43800402,IRU,0.182,,,,,
SP,TUPÃ,3555000,11.4124,SP-3555000-EC3009758FD441D890C0FA4994AD3E45,AT,ANALISADO  EM CONFORMIDADE COM A LEI Nº 12.651/2012,-21.91236001,-50.51578913,IRU,0.5706,,,,,
SP,TUPÃ,3555000,3.7397,SP-3555000-EB35F7430C224560805118E18ACBC28D,AT,ANALISADO  EM CONFORMIDADE COM A LEI Nº 12.651/2012  COM ATIVOS AMBIENTAIS,-21.94665592,-50.54583084,IRU,0.1868,,,,,
SP,TUPÃ,3555000,7.8701,SP-3555000-E7A7F97FECF0407F83022F0EE139F2CE,PE,EM ANÁLISE,-21.91910287,-50.44676206,IRU,0.3935,,,,,
SP,TUPÃ,3555000,18.8115,SP-3555000-E519D60FEFD94770982234CD88AAF9CB,AT,ANALISADO COM PENDÊNCIAS  AGUARDANDO RETIFICAÇÃO,-21.89147021,-50.54106072,IRU,0.9406,,,,,
SP,TUPÃ,3555000,7.2095,SP-3555000-E1F4372DAAFE40829FD95086460BE1A4,AT,AGUARDANDO ANÁLISE  NÃO PASSÍVEL DE REVISÃO DE DADOS,-21.91334189,-50.50863581,IRU,0.3605,,,,,
SP,TUPÃ,3555000,5.9326,SP-3555000-DF8D5BC29CFE481BA4D49ED166F73A4E,AT,REVISADO  AGUARDANDO ANÁLISE DA EQUIPE,-21.92225073,-50.6250683,IRU,0.2966,,,,,
SP,TUPÃ,3555000,1.4986,SP-3555000-D6DF8A4952F74C0791FE88F024380166,AT,ANALISADO  EM CONFORMIDADE COM A LEI Nº 12.651/2012,-21.90449407,-50.60255985,IRU,0.0749,,,,,
SP,TUPÃ,3555000,7.7463,SP-3555000-D5E54CB31B1D48829056B090E6568811,AT,ANALISADO  EM CONFORMIDADE COM A LEI Nº 12.651/2012  COM ATIVOS AMBIENTAIS,-21.91741076,-50.50671057,IRU,0.387,,,,,
SP,TUPÃ,3555000,3.7882,SP-3555000-D0786B9CA5A24FB2B3F979BE74BD607F,AT,REVISADO  AGUARDANDO ANÁLISE DA EQUIPE,-21.9269025,-50.5660177,IRU,0.1894,,,,,
SP,TUPÃ,3555000,225.4885,SP-3555000-CCD065AFEF344F8B907649E471BDEDCF,AT,REVISADO  AGUARDANDO ACEITE PELO PROPRIETÁRIO/POSSUIDOR,-21.94449461,-50.65104983,IRU,11.2744,,,,,
SP,TUPÃ,3555000,222.6306,SP-3555000-CBD34D98C9AE471EAA61CC3ECC8562F1,AT,AGUARDANDO ANÁLISE  NÃO PASSÍVEL DE REVISÃO DE DADOS,-21.98349833,-50.68434842,IRU,11.1433,,,,,
SP,TUPÃ,3555000,27.2986,SP-3555000-C7C0EF9990B24B9D86F556C3237F35FC,AT,ANALISADO  EM CONFORMIDADE COM A LEI Nº 12.651/2012  COM ATIVOS AMBIENTAIS,-21.889998,-50.54103012,IRU,1.3649,,,,,
SP,TUPÃ,3555000,19.3413,SP-3555000-C7132EB7CEFA4F8E87A1C30516FF8CEC,AT,AGUARDANDO ANÁLISE  NÃO PASSÍVEL DE REVISÃO DE DADOS,-21.8625643,-50.53019004,IRU,0.9671,,,,,
